matter_id,received_date,practice_area,intake_channel,requester_type,jurisdiction,summary,estimated_value_usd,risk_score,assigned_team,status,days_to_assign
MAT-001,2026-01-03,Corp,email,Internal Counsel,ny,Vendor agreement renewal for software licensing,180000,5,Commercial,open,2
MAT-002,2026-01-04,Litigation ,portal,Business Unit,ca,Complaint received regarding contract dispute,450000,8,Disputes,in review,5
MAT-003,2026-01-05,Employment ,email,HR,tx,Employee termination review and severance package,95000,6,Employment,closed ,3
MAT-004,2026-01-06,Privacy,email,IT,dc,Potential data breach involving client files,750000,9,Cyber,open ,1
MAT-005,2026-01-07,Corporate,portal,Finance,ny,Due diligence for acquisition target,1200000,7,Corporate,under review,4
MAT-006,2026-01-08,Regulatory,email,Compliance,il,Regulatory inquiry on records retention,,4,Regulatory,open,6
MAT-007,2026-01-09,Corp,portal,Operations,fl,Vendor contract and renewal negotiation,225000,,Commercial,open,2
MAT-008,2026-01-10,Employment,email,Manager,ca,Harassment allegation review for employee complaint,110000,8,Employment,in review,4
MAT-009,2026-01-11,Litigation,email,General Counsel,nj,Insurance coverage dispute and claim response,375000,7,Disputes,open,7
MAT-010,2026-01-12,Privacy,portal,Security,wa,Cyber incident triage and privacy notification analysis,640000,10,Cyber,open,1
MAT-011,2026-01-13,Corporate,email,Sales,ma,Master services agreement update for new client,210000,5,Commercial,closed,3
MAT-012,2026-01-14,Regulatory,portal,Compliance,dc,Outside inquiry on billing controls and audit response,310000,6,,under review,
